match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
1481713,2025,Zimbabwe Women tour of United States of America,ODI,2025-05-03,Zimbabwe,United States Of America,United States of America,field,Zimbabwe,57,50,50,50,2,3,"Grand Prairie Stadium, Dallas"
1481712,2025,Zimbabwe Women tour of United States of America,ODI,2025-05-01,Zimbabwe,United States Of America,United States of America,field,United States Of America,57,50,50,50,3,2,"Grand Prairie Stadium, Dallas"
1477023,2025,ICC Women's World Cup Qualifier,ODI,2025-04-19,Thailand,West Indies,West Indies,field,West Indies,0,0,0,100,1,3,"Gaddafi Stadium, Lahore"
1477022,2025,ICC Women's World Cup Qualifier,ODI,2025-04-19,Pakistan,Bangladesh,Bangladesh,bat,Pakistan,50,100,100,0,4,3,"Lahore City Cricket Association Ground, Lahore"
1477021,2025,ICC Women's World Cup Qualifier,ODI,2025-04-18,Scotland,Ireland,Scotland,bat,Ireland,25,0,0,16,3,1,"Gaddafi Stadium, Lahore"
1477020,2025,ICC Women's World Cup Qualifier,ODI,2025-04-17,Pakistan,Thailand,Pakistan,bat,Pakistan,100,100,20,0,3,1,"Gaddafi Stadium, Lahore"
1477019,2025,ICC Women's World Cup Qualifier,ODI,2025-04-17,West Indies,Bangladesh,Bangladesh,bat,West Indies,80,100,100,0,3,4,"Lahore City Cricket Association Ground, Lahore"
1477018,2025,ICC Women's World Cup Qualifier,ODI,2025-04-15,Bangladesh,Scotland,Bangladesh,bat,Bangladesh,100,100,100,0,3,3,"Gaddafi Stadium, Lahore"
1477017,2025,ICC Women's World Cup Qualifier,ODI,2025-04-15,Ireland,Thailand,Ireland,bat,Ireland,100,100,100,0,1,1,"Lahore City Cricket Association Ground, Lahore"
1477016,2025,ICC Women's World Cup Qualifier,ODI,2025-04-14,West Indies,Pakistan,Pakistan,bat,Pakistan,69,0,0,100,2,4,"Gaddafi Stadium, Lahore"
1477015,2025,ICC Women's World Cup Qualifier,ODI,2025-04-13,Ireland,Bangladesh,Ireland,bat,Bangladesh,0,0,0,100,0,3,"Gaddafi Stadium, Lahore"
1477014,2025,ICC Women's World Cup Qualifier,ODI,2025-04-13,Scotland,Thailand,Scotland,bat,Scotland,100,100,33,0,4,2,"Lahore City Cricket Association Ground, Lahore"
1477013,2025,ICC Women's World Cup Qualifier,ODI,2025-04-11,West Indies,Ireland,Ireland,field,West Indies,100,100,50,0,3,0,"Gaddafi Stadium, Lahore"
1477012,2025,ICC Women's World Cup Qualifier,ODI,2025-04-11,Scotland,Pakistan,Pakistan,field,Pakistan,0,0,0,100,3,3,"Lahore City Cricket Association Ground, Lahore"
1477011,2025,ICC Women's World Cup Qualifier,ODI,2025-04-10,Bangladesh,Thailand,Thailand,field,Bangladesh,100,100,100,0,4,3,"Lahore City Cricket Association Ground, Lahore"
1477010,2025,ICC Women's World Cup Qualifier,ODI,2025-04-09,Scotland,West Indies,West Indies,field,Scotland,100,100,33,0,4,2,"Lahore City Cricket Association Ground, Lahore"
1477009,2025,ICC Women's World Cup Qualifier,ODI,2025-04-09,Pakistan,Ireland,Ireland,field,Pakistan,100,100,80,0,2,0,"Gaddafi Stadium, Lahore"
1476986,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-05-11,Sri Lanka,India,India,bat,India,21,33,14,40,2,4,"R.Premadasa Stadium, Khettarama, Colombo"
1476985,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-05-09,Sri Lanka,South Africa,Sri Lanka,field,South Africa,25,50,14,50,2,0,"R.Premadasa Stadium, Khettarama, Colombo"
1476984,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-05-07,South Africa,India,South Africa,field,India,36,0,0,40,0,4,"R.Premadasa Stadium, Khettarama, Colombo"
1476983,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-05-04,Sri Lanka,India,Sri Lanka,field,Sri Lanka,21,33,14,40,2,5,"R.Premadasa Stadium, Khettarama, Colombo"
1476982,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-05-02,Sri Lanka,South Africa,Sri Lanka,field,Sri Lanka,25,50,14,50,1,1,"R.Premadasa Stadium, Khettarama, Colombo"
1476981,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-04-29,South Africa,India,India,bat,India,36,0,0,40,1,5,"R.Premadasa Stadium, Khettarama, Colombo"
1476980,2025,Sri Lanka Women's ODI Tri-Series,ODI,2025-04-27,Sri Lanka,India,India,field,India,21,33,14,40,1,5,"R.Premadasa Stadium, Khettarama, Colombo"
1468401,2025,Bangladesh Women tour of West Indies,ODI,2025-01-24,West Indies,Bangladesh,Bangladesh,bat,West Indies,80,66,66,33,2,3,"Warner Park, Basseterre, St Kitts"
1468400,2025,Bangladesh Women tour of West Indies,ODI,2025-01-21,West Indies,Bangladesh,West Indies,field,Bangladesh,80,66,66,33,2,3,"Warner Park, Basseterre, St Kitts"
1468399,2025,Bangladesh Women tour of West Indies,ODI,2025-01-19,West Indies,Bangladesh,West Indies,field,West Indies,80,66,66,33,1,4,"Warner Park, Basseterre, St Kitts"
1459899,2025,Ireland Women tour of India,ODI,2025-01-15,Ireland,India,India,bat,India,0,0,0,100,0,5,"Saurashtra Cricket Association Stadium, Rajkot"
1459898,2025,Ireland Women tour of India,ODI,2025-01-12,Ireland,India,India,bat,India,0,0,0,100,0,4,"Saurashtra Cricket Association Stadium, Rajkot"
1459897,2025,Ireland Women tour of India,ODI,2025-01-10,Ireland,India,Ireland,bat,India,0,0,0,100,0,3,"Saurashtra Cricket Association Stadium, Rajkot"
1459896,2024,West Indies Women tour of India,ODI,2024-12-27,West Indies,India,West Indies,bat,India,11,0,0,100,1,2,"Kotambi Stadium, Vadodara"
1459895,2024,West Indies Women tour of India,ODI,2024-12-24,West Indies,India,India,bat,India,11,0,0,100,0,2,"Kotambi Stadium, Vadodara"
1459894,2024,West Indies Women tour of India,ODI,2024-12-22,West Indies,India,West Indies,field,India,11,0,0,100,0,1,"Kotambi Stadium, Vadodara"
1458413,2024,Ireland Women tour of Bangladesh,ODI,2024-12-02,Ireland,Bangladesh,Ireland,bat,Bangladesh,0,0,0,37,0,3,"Shere Bangla National Stadium, Mirpur, Dhaka"
1458412,2024,Ireland Women tour of Bangladesh,ODI,2024-11-30,Ireland,Bangladesh,Ireland,bat,Bangladesh,0,0,0,37,1,3,"Shere Bangla National Stadium, Mirpur, Dhaka"
1458411,2024,Ireland Women tour of Bangladesh,ODI,2024-11-27,Ireland,Bangladesh,Bangladesh,bat,Bangladesh,0,0,0,37,1,2,"Shere Bangla National Stadium, Mirpur, Dhaka"
1455371,2024,United States of America Women tour of Zimbabwe,ODI,2024-10-28,Zimbabwe,United States Of America,United States of America,field,United States Of America,57,60,23,40,4,1,"Harare Sports Club, Harare"
1455370,2024,United States of America Women tour of Zimbabwe,ODI,2024-10-26,Zimbabwe,United States Of America,United States of America,field,Zimbabwe,57,60,23,40,4,1,"Harare Sports Club, Harare"
1455369,2024,United States of America Women tour of Zimbabwe,ODI,2024-10-23,Zimbabwe,United States Of America,United States of America,field,United States Of America,57,60,23,40,4,0,"Harare Sports Club, Harare"
1455368,2024,United States of America Women tour of Zimbabwe,ODI,2024-10-20,Zimbabwe,United States Of America,Zimbabwe,field,Zimbabwe,57,60,23,40,3,0,"Harare Sports Club, Harare"
1455367,2024,United States of America Women tour of Zimbabwe,ODI,2024-10-17,Zimbabwe,United States Of America,Zimbabwe,field,Zimbabwe,57,60,23,40,2,0,"Harare Sports Club, Harare"
1454393,2024,New Zealand Women tour of India,ODI,2024-10-29,New Zealand,India,New Zealand,bat,India,47,33,33,66,2,2,"Narendra Modi Stadium, Ahmedabad"
1454392,2024,New Zealand Women tour of India,ODI,2024-10-27,New Zealand,India,New Zealand,bat,New Zealand,47,33,33,66,1,3,"Narendra Modi Stadium, Ahmedabad"
1454391,2024,New Zealand Women tour of India,ODI,2024-10-24,New Zealand,India,India,bat,India,47,33,33,66,1,4,"Narendra Modi Stadium, Ahmedabad"
1444548,2024,Netherlands Women's ODI Tri-Series,ODI,2024-08-12,Scotland,Netherlands,Scotland,bat,Scotland,50,50,33,20,4,4,"Vra Cricket Ground, Amstelveen"
1444547,2024,Netherlands Women's ODI Tri-Series,ODI,2024-08-11,Scotland,Papua New Guinea,Scotland,field,Scotland,100,100,33,0,4,1,"Vra Cricket Ground, Amstelveen"
1444546,2024,Netherlands Women's ODI Tri-Series,ODI,2024-08-09,Papua New Guinea,Netherlands,Netherlands,field,Netherlands,0,0,0,20,1,3,"Vra Cricket Ground, Amstelveen"
1444545,2024,Netherlands Women's ODI Tri-Series,ODI,2024-08-08,Scotland,Netherlands,Scotland,bat,Netherlands,50,50,33,20,3,2,"Vra Cricket Ground, Amstelveen"
1444544,2024,Netherlands Women's ODI Tri-Series,ODI,2024-08-06,Scotland,Papua New Guinea,Papua New Guinea,field,Scotland,100,100,100,0,3,1,"Sportpark Maarschalkerweerd, Utrecht"
1444543,2024,Netherlands Women's ODI Tri-Series,ODI,2024-08-05,Papua New Guinea,Netherlands,Netherlands,field,Netherlands,0,0,0,100,1,1,"Sportpark Maarschalkerweerd, Utrecht"
1443570,2025,Sri Lanka Women tour of New Zealand,ODI,2025-03-09,Sri Lanka,New Zealand,New Zealand,bat,New Zealand,25,0,0,66,2,2,"Saxton Oval, Nelson"
1443569,2025,Sri Lanka Women tour of New Zealand,ODI,2025-03-07,Sri Lanka,New Zealand,New Zealand,bat,New Zealand,25,0,0,66,3,1,"Saxton Oval, Nelson"
1443567,2024,Australia Women tour of New Zealand,ODI,2024-12-23,New Zealand,Australia,Australia,bat,Australia,14,0,0,42,1,5,"Basin Reserve, Wellington"
1443566,2024,Australia Women tour of New Zealand,ODI,2024-12-21,New Zealand,Australia,New Zealand,field,Australia,14,0,0,42,1,5,"Basin Reserve, Wellington"
1436888,2024,West Indies Women tour of Sri Lanka,ODI,2024-06-21,West Indies,Sri Lanka,West Indies,field,Sri Lanka,43,0,0,100,1,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
1436887,2024,West Indies Women tour of Sri Lanka,ODI,2024-06-18,West Indies,Sri Lanka,West Indies,bat,Sri Lanka,43,0,0,100,2,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
1436886,2024,West Indies Women tour of Sri Lanka,ODI,2024-06-15,West Indies,Sri Lanka,Sri Lanka,field,Sri Lanka,43,0,0,100,3,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
1434289,2024,South Africa Women tour of India,ODI,2024-06-23,South Africa,India,South Africa,bat,India,36,0,0,60,1,4,"M Chinnaswamy Stadium, Bengaluru"
1434288,2024,South Africa Women tour of India,ODI,2024-06-19,South Africa,India,South Africa,field,India,36,0,0,60,1,4,"M Chinnaswamy Stadium, Bengaluru"
1434287,2024,South Africa Women tour of India,ODI,2024-06-16,South Africa,India,India,bat,India,36,0,0,60,1,3,"M Chinnaswamy Stadium, Bengaluru"
1432230,2024,England Women tour of South Africa,ODI,2024-12-11,South Africa,England,England,field,England,18,0,0,100,1,2,"Senwes Park, Potchefstroom"
1432229,2024,England Women tour of South Africa,ODI,2024-12-08,South Africa,England,England,field,England,18,0,0,100,1,2,"Kingsmead, Durban"
1432228,2024,England Women tour of South Africa,ODI,2024-12-04,South Africa,England,England,bat,South Africa,18,100,20,0,1,3,"Diamond Oval, Kimberley"
1430819,2024,England Women tour of Ireland,ODI,2024-09-11,Ireland,England,England,bat,Ireland,33,33,33,66,1,3,"Civil Service Cricket Club, Stormont, Belfast"
1430818,2024,England Women tour of Ireland,ODI,2024-09-09,Ireland,England,England,bat,England,33,33,33,66,1,3,"Civil Service Cricket Club, Stormont, Belfast"
1430817,2024,England Women tour of Ireland,ODI,2024-09-07,Ireland,England,Ireland,bat,England,33,33,33,66,2,4,"Civil Service Cricket Club, Stormont, Belfast"
1430816,2024,Sri Lanka Women tour of Ireland,ODI,2024-08-20,Sri Lanka,Ireland,Sri Lanka,field,Sri Lanka,50,33,33,66,3,0,"Civil Service Cricket Club, Stormont, Belfast"
1430815,2024,Sri Lanka Women tour of Ireland,ODI,2024-08-18,Sri Lanka,Ireland,Sri Lanka,field,Ireland,50,33,33,66,4,0,"Civil Service Cricket Club, Stormont, Belfast"
1430814,2024,Sri Lanka Women tour of Ireland,ODI,2024-08-16,Sri Lanka,Ireland,Ireland,field,Ireland,50,33,33,66,4,0,"Civil Service Cricket Club, Stormont, Belfast"
1427425,2024,UAE Women's ODI Tri-Series,ODI,2024-04-14,Scotland,United States Of America,Scotland,bat,Scotland,100,100,50,0,3,0,"Icc Global Cricket Academy, Dubai"
1427424,2024,UAE Women's ODI Tri-Series,ODI,2024-04-12,Scotland,Papua New Guinea,Papua New Guinea,field,Scotland,100,100,50,0,2,1,"Icc Global Cricket Academy, Dubai"
1427423,2024,UAE Women's ODI Tri-Series,ODI,2024-04-11,United States Of America,Papua New Guinea,United States of America,bat,Papua New Guinea,0,0,0,50,3,1,"Icc Global Cricket Academy, Dubai"
1426625,2025,Women's Ashes,ODI,2025-01-17,England,Australia,Australia,bat,Australia,29,0,0,66,2,5,"Bellerive Oval, Hobart"
1426624,2025,Women's Ashes,ODI,2025-01-14,England,Australia,England,field,Australia,29,0,0,60,2,5,"Junction Oval, Melbourne"
1426623,2025,Women's Ashes,ODI,2025-01-12,England,Australia,Australia,field,Australia,29,0,0,16,3,5,"North Sydney Oval, Sydney"
1426622,2024,India Women tour of Australia,ODI,2024-12-11,India,Australia,India,field,Australia,20,0,0,100,4,5,"Western Australia Cricket Association Ground, Perth"
1426621,2024,India Women tour of Australia,ODI,2024-12-08,India,Australia,Australia,bat,Australia,20,0,0,16,4,5,"Allan Border Field, Brisbane"
1426620,2024,India Women tour of Australia,ODI,2024-12-05,India,Australia,India,bat,Australia,20,0,0,16,5,4,"Allan Border Field, Brisbane"
1426083,2024,West Indies Women tour of Pakistan,ODI,2024-04-23,West Indies,Pakistan,West Indies,bat,West Indies,69,100,100,0,3,2,"National Stadium, Karachi"
1426082,2024,West Indies Women tour of Pakistan,ODI,2024-04-21,West Indies,Pakistan,Pakistan,bat,West Indies,69,100,100,0,3,1,"National Stadium, Karachi"
1426081,2024,West Indies Women tour of Pakistan,ODI,2024-04-18,West Indies,Pakistan,West Indies,bat,West Indies,69,100,100,0,3,0,"National Stadium, Karachi"
1426047,2024,Papua New Guinea Women tour of Zimbabwe,ODI,2024-03-28,Zimbabwe,Papua New Guinea,Papua New Guinea,field,Zimbabwe,100,100,15,0,1,1,"Harare Sports Club, Harare"
1426046,2024,Papua New Guinea Women tour of Zimbabwe,ODI,2024-03-26,Zimbabwe,Papua New Guinea,Zimbabwe,field,Zimbabwe,100,100,15,0,0,0,"Harare Sports Club, Harare"
1425063,2024,Australia Women tour of Bangladesh,ODI,2024-03-27,Bangladesh,Australia,Australia,field,Australia,0,0,0,100,3,4,"Shere Bangla National Stadium, Mirpur, Dhaka"
1425062,2024,Australia Women tour of Bangladesh,ODI,2024-03-24,Bangladesh,Australia,Bangladesh,bat,Australia,0,0,0,100,3,4,"Shere Bangla National Stadium, Mirpur, Dhaka"
1425061,2024,Australia Women tour of Bangladesh,ODI,2024-03-21,Bangladesh,Australia,Bangladesh,field,Australia,0,0,0,100,3,4,"Shere Bangla National Stadium, Mirpur, Dhaka"
1415982,2024,Ireland Women tour of Zimbabwe,ODI,2024-01-23,Zimbabwe,Ireland,Zimbabwe,field,Ireland,17,16,7,83,0,1,"Harare Sports Club, Harare"
1415980,2024,Ireland Women tour of Zimbabwe,ODI,2024-01-18,Zimbabwe,Ireland,Ireland,field,Ireland,17,16,7,83,0,1,"Harare Sports Club, Harare"
1406080,2024,Australia Women tour of India,ODI,2024-01-02,India,Australia,Australia,bat,Australia,20,0,0,100,5,4,"Wankhede Stadium, Mumbai"
1406079,2023,Australia Women tour of India,ODI,2023-12-30,India,Australia,Australia,bat,Australia,20,0,0,100,5,5,"Wankhede Stadium, Mumbai"
1406078,2023,Australia Women tour of India,ODI,2023-12-28,India,Australia,India,bat,Australia,20,0,0,100,5,5,"Wankhede Stadium, Mumbai"
1405126,2023,Pakistan Women tour of Bangladesh,ODI,2023-11-10,Pakistan,Bangladesh,Pakistan,bat,Bangladesh,50,33,33,25,1,1,"Shere Bangla National Stadium, Mirpur, Dhaka"
1405125,2023,Pakistan Women tour of Bangladesh,ODI,2023-11-07,Pakistan,Bangladesh,Bangladesh,bat,Bangladesh,50,33,33,25,0,0,"Shere Bangla National Stadium, Mirpur, Dhaka"
1405124,2023,Pakistan Women tour of Bangladesh,ODI,2023-11-04,Pakistan,Bangladesh,Bangladesh,bat,Pakistan,50,33,33,25,1,1,"Shere Bangla National Stadium, Mirpur, Dhaka"
1403685,2023,Ireland Women v Scotland Women,ODI,2023-10-21,Scotland,Ireland,Ireland,bat,Ireland,25,33,33,66,1,1,"Desert Springs Cricket Ground, Almeria"
1403684,2023,Ireland Women v Scotland Women,ODI,2023-10-19,Scotland,Ireland,Ireland,bat,Ireland,25,33,33,66,1,1,"Desert Springs Cricket Ground, Almeria"
1403683,2023,Ireland Women v Scotland Women,ODI,2023-10-17,Scotland,Ireland,Ireland,field,Scotland,25,33,33,66,1,2,"Desert Springs Cricket Ground, Almeria"
1398276,2024,New Zealand Women tour of England,ODI,2024-07-03,New Zealand,England,England,field,England,19,0,0,28,1,5,"County Ground, Bristol"
1398275,2024,New Zealand Women tour of England,ODI,2024-06-30,New Zealand,England,England,field,England,19,0,0,33,1,5,"County Ground, New Road, Worcester"
1398274,2024,New Zealand Women tour of England,ODI,2024-06-26,New Zealand,England,New Zealand,bat,England,19,0,0,50,1,5,"Riverside Ground, Chester-Le-Street"
1398273,2024,Pakistan Women tour of England,ODI,2024-05-29,Pakistan,England,England,bat,England,0,0,0,50,1,4,"County Ground, Chelmsford"
1398271,2024,Pakistan Women tour of England,ODI,2024-05-23,Pakistan,England,Pakistan,field,England,0,0,0,20,1,4,"County Ground, Derby"
1398267,2024,Sri Lanka Women tour of South Africa,ODI,2024-04-17,Sri Lanka,South Africa,Sri Lanka,field,Sri Lanka,25,20,20,80,3,1,"Senwes Park, Potchefstroom"
1398266,2024,Sri Lanka Women tour of South Africa,ODI,2024-04-13,Sri Lanka,South Africa,South Africa,field,South Africa,25,0,0,100,2,1,"Diamond Oval, Kimberley"
1398260,2023,Bangladesh Women tour of South Africa,ODI,2023-12-23,South Africa,Bangladesh,South Africa,bat,South Africa,93,100,66,0,2,2,"Willowmoore Park, Benoni"
1398259,2023,Bangladesh Women tour of South Africa,ODI,2023-12-20,South Africa,Bangladesh,South Africa,field,South Africa,93,100,21,0,2,3,"Senwes Park, Potchefstroom"
1398258,2023,Bangladesh Women tour of South Africa,ODI,2023-12-16,South Africa,Bangladesh,South Africa,field,Bangladesh,93,0,0,100,3,3,"Buffalo Park, East London"
1392350,2023,New Zealand Women tour of South Africa,ODI,2023-10-01,South Africa,New Zealand,New Zealand,field,New Zealand,67,0,0,100,3,1,"Kingsmead, Durban"
1392349,2023,New Zealand Women tour of South Africa,ODI,2023-09-28,South Africa,New Zealand,South Africa,field,South Africa,67,100,100,0,3,1,"City Oval, Pietermaritzburg"
1392348,2023,New Zealand Women tour of South Africa,ODI,2023-09-24,South Africa,New Zealand,South Africa,field,South Africa,67,100,7,0,2,1,"Senwes Park, Potchefstroom"
1388209,2024,England Women tour of New Zealand,ODI,2024-04-07,New Zealand,England,England,bat,New Zealand,19,50,25,50,1,4,"Seddon Park, Hamilton"
1388208,2024,England Women tour of New Zealand,ODI,2024-04-04,New Zealand,England,England,bat,England,19,50,25,50,2,4,"Seddon Park, Hamilton"
1388207,2024,England Women tour of New Zealand,ODI,2024-04-01,New Zealand,England,England,field,England,19,0,0,100,2,4,"Basin Reserve, Wellington"
1388201,2023,Pakistan Women tour of New Zealand,ODI,2023-12-18,Pakistan,New Zealand,New Zealand,bat,Pakistan,18,33,25,50,1,1,"Hagley Oval, Christchurch"
1388200,2023,Pakistan Women tour of New Zealand,ODI,2023-12-15,Pakistan,New Zealand,New Zealand,field,New Zealand,18,33,25,50,1,1,"Hagley Oval, Christchurch"
1388199,2023,Pakistan Women tour of New Zealand,ODI,2023-12-12,Pakistan,New Zealand,Pakistan,field,New Zealand,18,0,0,100,1,1,"John Davies Oval, Queenstown"
1384544,2023,Thailand Women tour of Netherlands,ODI,2023-07-07,Thailand,Netherlands,Netherlands,field,Thailand,83,50,50,20,1,1,"Vra Cricket Ground, Amstelveen"
1384542,2023,Thailand Women tour of Netherlands,ODI,2023-07-03,Thailand,Netherlands,Thailand,field,Netherlands,83,50,50,20,2,0,"Vra Cricket Ground, Amstelveen"
1382171,2023,South Africa Women tour of Pakistan,ODI,2023-09-14,South Africa,Pakistan,South Africa,bat,Pakistan,86,66,66,11,3,1,"National Stadium, Karachi"
1382170,2023,South Africa Women tour of Pakistan,ODI,2023-09-11,South Africa,Pakistan,Pakistan,bat,South Africa,86,66,66,11,3,1,"National Stadium, Karachi"
1382169,2023,South Africa Women tour of Pakistan,ODI,2023-09-08,South Africa,Pakistan,South Africa,bat,South Africa,86,66,66,11,2,1,"National Stadium, Karachi"
1382167,2023,ICC Women's Championship,ODI,2023-07-19,India,Bangladesh,Bangladesh,field,India,75,50,50,12,4,3,"Shere Bangla National Stadium, Mirpur, Dhaka"
1382166,2023,ICC Women's Championship,ODI,2023-07-16,India,Bangladesh,India,field,Bangladesh,75,50,50,12,3,3,"Shere Bangla National Stadium, Mirpur, Dhaka"
1379759,2023,ICC Women's Championship,ODI,2023-07-03,Sri Lanka,New Zealand,New Zealand,bat,Sri Lanka,25,66,40,33,2,1,"Galle International Stadium, Galle"
1379758,2023,ICC Women's Championship,ODI,2023-06-30,Sri Lanka,New Zealand,New Zealand,bat,New Zealand,25,66,40,33,1,2,"Galle International Stadium, Galle"
1379757,2023,ICC Women's Championship,ODI,2023-06-27,Sri Lanka,New Zealand,New Zealand,bat,Sri Lanka,25,66,40,33,2,2,"Galle International Stadium, Galle"
1378199,2023,Australia Women tour of Ireland,ODI,2023-07-29,Ireland,Australia,Australia,field,Australia,0,0,0,100,2,5,"Castle Avenue, Dublin"
1378198,2023,Australia Women tour of Ireland,ODI,2023-07-25,Ireland,Australia,Ireland,field,Australia,0,0,0,100,3,5,"Castle Avenue, Dublin"
1378193,2023,Ireland Women tour of West Indies,ODI,2023-07-01,West Indies,Ireland,Ireland,bat,West Indies,100,100,100,0,3,2,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"
1378191,2023,Ireland Women tour of West Indies,ODI,2023-06-26,West Indies,Ireland,West Indies,bat,West Indies,100,100,100,0,2,3,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"
1375874,2024,South Africa Women tour of Australia,ODI,2024-02-10,South Africa,Australia,Australia,bat,Australia,12,50,50,16,3,4,"North Sydney Oval, Sydney"
1375873,2024,South Africa Women tour of Australia,ODI,2024-02-07,South Africa,Australia,Australia,field,South Africa,12,50,50,16,4,4,"North Sydney Oval, Sydney"
1375872,2024,South Africa Women tour of Australia,ODI,2024-02-03,South Africa,Australia,Australia,field,Australia,12,0,0,100,3,3,"Adelaide Oval, Adelaide"
1375868,2023,West Indies Women tour of Australia,ODI,2023-10-14,West Indies,Australia,Australia,field,Australia,0,0,0,20,2,3,"Junction Oval, Melbourne"
1375866,2023,West Indies Women tour of Australia,ODI,2023-10-08,West Indies,Australia,Australia,field,Australia,0,0,0,8,2,3,"Allan Border Field, Brisbane"
1368851,2023,Bangladesh Women tour of Sri Lanka,ODI,2023-05-04,Sri Lanka,Bangladesh,Sri Lanka,bat,Sri Lanka,100,100,25,0,3,2,"Sinhalese Sports Club Ground, Colombo"
1368832,2023,Zimbabwe Women tour of Thailand,ODI,2023-04-23,Zimbabwe,Thailand,Zimbabwe,bat,Thailand,0,0,0,100,0,4,"Terdthai Cricket Ground, Bangkok"
1368831,2023,Zimbabwe Women tour of Thailand,ODI,2023-04-21,Zimbabwe,Thailand,Zimbabwe,field,Thailand,0,0,0,100,0,4,"Terdthai Cricket Ground, Bangkok"
1368830,2023,Zimbabwe Women tour of Thailand,ODI,2023-04-19,Zimbabwe,Thailand,Thailand,bat,Thailand,0,0,0,100,0,5,"Terdthai Cricket Ground, Bangkok"
1345094,2023,Pakistan Women tour of Australia,ODI,2023-01-21,Pakistan,Australia,Pakistan,field,Australia,0,0,0,16,2,4,"North Sydney Oval, Sydney"
1345093,2023,Pakistan Women tour of Australia,ODI,2023-01-18,Pakistan,Australia,Pakistan,bat,Australia,0,0,0,16,2,4,"Allan Border Field, Brisbane"
1345092,2023,Pakistan Women tour of Australia,ODI,2023-01-16,Pakistan,Australia,Australia,field,Australia,0,0,0,16,2,5,"Allan Border Field, Brisbane"
1344506,2022,Netherlands Women tour of Thailand,ODI,2022-11-26,Thailand,Netherlands,Netherlands,bat,Thailand,83,100,100,0,3,0,"Royal Chiangmai Golf Club, Chiang Mai"
1344505,2022,Netherlands Women tour of Thailand,ODI,2022-11-24,Thailand,Netherlands,Netherlands,field,Thailand,83,100,100,0,4,0,"Royal Chiangmai Golf Club, Chiang Mai"
1344504,2022,Netherlands Women tour of Thailand,ODI,2022-11-22,Thailand,Netherlands,Thailand,bat,Thailand,83,100,100,0,4,0,"Royal Chiangmai Golf Club, Chiang Mai"
1344503,2022,Netherlands Women tour of Thailand,ODI,2022-11-20,Thailand,Netherlands,Netherlands,field,Thailand,83,100,100,0,5,0,"Royal Chiangmai Golf Club, Chiang Mai"
1343933,2022,England Women tour of West Indies,ODI,2022-12-09,West Indies,England,England,bat,England,12,0,0,100,2,5,"Sir Vivian Richards Stadium, North Sound, Antigua"
1343932,2022,England Women tour of West Indies,ODI,2022-12-06,West Indies,England,England,bat,England,12,0,0,100,1,4,"Sir Vivian Richards Stadium, North Sound, Antigua"
1343931,2022,England Women tour of West Indies,ODI,2022-12-04,West Indies,England,West Indies,field,England,12,0,0,100,1,4,"Sir Vivian Richards Stadium, North Sound, Antigua"
1336085,2023,Sri Lanka Women tour of England,ODI,2023-09-14,Sri Lanka,England,Sri Lanka,field,England,10,0,0,14,3,4,"Grace Road, Leicester"
1336083,2023,Sri Lanka Women tour of England,ODI,2023-09-09,Sri Lanka,England,England,field,England,10,0,0,50,2,4,"Riverside Ground, Chester-Le-Street"
1336079,2023,Women's Ashes,ODI,2023-07-18,England,Australia,Australia,field,England,29,100,100,0,3,5,"The Cooper Associates County Ground, Taunton"
1336078,2023,Women's Ashes,ODI,2023-07-16,England,Australia,England,field,Australia,29,0,0,100,3,5,"The Rose Bowl, Southampton"
1336077,2023,Women's Ashes,ODI,2023-07-12,England,Australia,Australia,bat,England,29,66,66,16,4,5,"County Ground, Bristol"
1334414,2022,New Zealand Women tour of West Indies,ODI,2022-09-25,West Indies,New Zealand,New Zealand,bat,West Indies,33,33,7,66,1,3,"Sir Vivian Richards Stadium, North Sound, Antigua"
1334413,2022,New Zealand Women tour of West Indies,ODI,2022-09-22,West Indies,New Zealand,West Indies,bat,New Zealand,33,33,7,66,1,3,"Sir Vivian Richards Stadium, North Sound, Antigua"
1334412,2022,New Zealand Women tour of West Indies,ODI,2022-09-19,West Indies,New Zealand,New Zealand,field,New Zealand,33,33,7,66,1,3,"Sir Vivian Richards Stadium, North Sound, Antigua"
1328487,2022,Ireland Women tour of Netherlands,ODI,2022-08-26,Netherlands,Ireland,Netherlands,bat,Ireland,0,0,0,100,4,4,"Sportpark Westvliet, Voorburg, The Hague"
